# Step     Time (ps)     Particles  Tot. E. (eV/part)  Kin. E. (eV/part)  Pot. E. (eV/part)  Temp. (K) Pxx Pyy Pzz Pxy Pxz Pyz (Pa) A/B/C (ang)    alpha/beta/gamma (deg)     Vol. (ang^3)  Rho (g/cm^3)
        0  0.000000e+00          2000  -9.9585914134e-01   0.0000000000e+00  -9.9585914134e-01   0.000000000000  -3614688132.853784561157  -3606449211.956766605377  -3588307345.397702217102  -3038638.887306713499  -684630.137109056348  14136.425843657875  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
        1  1.000000e-04          2000  -9.9585910167e-01   1.6630336452e-06  -9.9586076470e-01   0.012865802715  -3614685049.644349098206  -3606446683.206462383270  -3588305092.493650436401  -3038839.147682435345  -684442.022302172845  14178.476680182410  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
        2  2.000000e-04          2000  -9.9585911676e-01   6.6522624471e-06  -9.9586576902e-01   0.051464200078  -3614674205.957311153412  -3606434326.427883625031  -3588293973.532365798950  -3039252.341598190833  -684238.094002633938  13820.015532314161  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
        3  3.000000e-04          2000  -9.9585910197e-01   1.4968070115e-05  -9.9587407004e-01   0.115798160597  -3614656593.736474037170  -3606414667.307403087616  -3588277124.098335742950  -3040100.835945442785  -683971.138792299083  13000.027983103066  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
        4  4.000000e-04          2000  -9.9585911468e-01   2.6611096772e-05  -9.9588572577e-01   0.205872636480  -3614632534.497027397156  -3606388078.301295280457  -3588254395.114584445953  -3040798.849608078133  -683618.480969233438  12384.706683521199  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
        5  5.000000e-04          2000  -9.9585916748e-01   4.1582238699e-05  -9.9590074972e-01   0.321694561681  -3614601577.778189659119  -3606353639.849911212921  -3588224621.514576435089  -3041843.681487050839  -682931.715040287003  11021.361470485981  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
        6  6.000000e-04          2000  -9.9585920059e-01   5.9882648045e-05  -9.9591908324e-01   0.463272849604  -3614563569.498883724213  -3606310727.604416847229  -3588188072.453721046448  -3043147.215382574592  -682218.349254743080  9514.724503736465  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
        7  7.000000e-04          2000  -9.9585915149e-01   8.1513732773e-05  -9.9594066522e-01   0.630618392748  -3614517799.452443599701  -3606260498.896170139313  -3588144938.209936618805  -3044911.133226793259  -681351.565459341626  7842.892863829282  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
        8  8.000000e-04          2000  -9.9585908607e-01   1.0647715727e-04  -9.9596556323e-01   0.823744067353  -3614465362.271450042725  -3606202595.567833900452  -3588094686.149426460266  -3046479.651005086489  -680440.272021731013  5876.990184207305  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
        9  9.000000e-04          2000  -9.9585917890e-01   1.3477484255e-04  -9.9599395374e-01   1.042664735162  -3614406181.622595787048  -3606136661.149326801300  -3588038417.612706184387  -3048635.290471584536  -679284.836752630421  3472.333442971814  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
       10  1.000000e-03          2000  -9.9585910743e-01   1.6640896612e-04  -9.9602551639e-01   1.287397241919  -3614340259.344277381897  -3606063394.106843471527  -3587974329.684712886810  -3051079.426328732166  -678106.363834945485  1011.795507250082  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
       11  1.100000e-03          2000  -9.9585911487e-01   2.0138196167e-04  -9.9606049683e-01   1.557960415674  -3614266991.001677989960  -3605982160.806955814362  -3587904857.897884368896  -3053417.084896693472  -676755.464447965031 -1951.600311825241  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
       12  1.200000e-03          2000  -9.9585915427e-01   2.3969651967e-04  -9.9609885079e-01   1.854375070765  -3614186952.228910923004  -3605893462.327453613281  -3587827694.870687007904  -3056272.549765823409  -674998.165889244527 -5030.328606735428  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
       13  1.300000e-03          2000  -9.9585917545e-01   2.8135558820e-04  -9.9614053104e-01   2.176664014544  -3614099751.136482238770  -3605796465.527398109436  -3587744660.946881294250  -3059421.344387235586  -673606.389914707979 -8535.144921295687  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
       14  1.400000e-03          2000  -9.9585910148e-01   3.2636236990e-04  -9.9618546385e-01   2.524852023821  -3614005390.627452373505  -3605691349.331965446472  -3587654648.688920497894  -3062665.637946078088  -671860.692344484734 -12002.588533145779  40.000000000000  40.000000000000  40.000000000000  90.000000000000  90.000000000000  90.000000000000  64000.000000000000  3.782707999000 
