#     Step     Time (ps)     Particles   Tot. E. (eV/part)  Kin. E. (eV/part)  Rot. E. (eV/part)  Pot. E. (eV/part)  Temperature   Pressure     sMises     Volume       Mass  Kin. Tx  Kin. Ty  Kin. Tz  Rot. Tx  Rot. Ty  Rot. Tz 
        0  0.000000e+00          8000  -2.5319568906e-02   1.1234434775e-02   0.0000000000e+00  -3.6554003681e-02       21.725  2.777e-11  0.000e+00  2.160e+05  1.441e+05      86.630      86.836      87.234       0.000       0.000       0.000 
        1  1.000000e-03          8000  -2.5321869633e-02   1.1288288416e-02   2.2306577109e-03  -3.8840815760e-02       26.143  3.342e-11  0.000e+00  2.160e+05  1.441e+05      86.918      87.419      87.613      27.162      11.541      13.068 
