TATB_Cno2        0.4109604814300000E+01        0.5877625985000000E+00        0.1642179212300000E+01
TATB_Cnh2        0.3409963093400000E+01       -0.6478667298000000E+00        0.1590381503500000E+01
TATB_Cno2        0.1980093567100000E+01       -0.6114992818000000E+00        0.1590381503500000E+01
TATB_Cnh2        0.1262891750600000E+01        0.6154526721000000E+00        0.1605728972800000E+01
TATB_Cno2        0.2004768352200000E+01        0.1834111208400000E+01        0.1561604998600000E+01
TATB_Cnh2        0.3426413300400000E+01        0.1851849913800000E+01        0.1611484273800000E+01
TATB_No2         0.5514555250000000E+01        0.5784124043000000E+00        0.1723392903900000E+01
TATB_O           0.6158183535200000E+01        0.1617291403100000E+01        0.1803327639700000E+01
TATB_O           0.6137544298900000E+01       -0.4795365291000000E+00        0.1688861098000000E+01
TATB_No2         0.1268962199100000E+01       -0.1817859884500000E+01        0.1577591945800000E+01
TATB_O           0.1855892642200000E+01       -0.2897090574900000E+01        0.1520038936000000E+01
TATB_O           0.4933625210000000E-01       -0.1838080793900000E+01        0.1614681663200000E+01
TATB_No2         0.1298618999700000E+01        0.3054304676200000E+01        0.1502773033100000E+01
TATB_O           0.6854194990000000E-01        0.3086778007800000E+01        0.1473357050300000E+01
TATB_O           0.1900408376800000E+01        0.4136937813000000E+01        0.1526433714900000E+01
TATB_Nh2         0.4037658578600000E+01       -0.1776017877300000E+01        0.1527712670600000E+01
TATB_H           0.4890719207600000E+01       -0.1745744644100000E+01        0.1521957369700000E+01
TATB_H           0.3633220250800000E+01       -0.2493494767200000E+01        0.1662642504700000E+01
TATB_Nh2        -0.3527285650000000E-01        0.6400147519000000E+00        0.1648573991200000E+01
TATB_H          -0.4568615951000000E+00        0.2191549890000000E-01        0.1624273831500000E+01
TATB_H          -0.5546347926000000E+00        0.1546253211700000E+01        0.1624273831500000E+01
TATB_Nh2         0.4083946754600000E+01        0.2967666164900000E+01        0.1609565840100000E+01
TATB_H           0.3644960449700000E+01        0.3708732623300000E+01        0.1560326042800000E+01
TATB_H           0.4992174880500000E+01        0.2911297711400000E+01        0.1432430465600000E+01
TATB_Cno2        0.7175146395999999E+00        0.4464086005900000E+01        0.4752599651800000E+01
TATB_Cnh2        0.1417156360500000E+01        0.5699715334100000E+01        0.4804397360600000E+01
TATB_Cno2        0.2847025886800000E+01        0.5663347886200000E+01        0.4804397360600000E+01
TATB_Cnh2        0.3564227703400000E+01        0.4436395932300000E+01 	     0.4789049891300000E+01
TATB_Cno2        0.2822351101700000E+01        0.3217737395900000E+01        0.4833173865500000E+01
TATB_Cnh2        0.1400706153500000E+01        0.3199998690500000E+01        0.4783294590300000E+01
TATB_No2        -0.6874357960000000E+00        0.4473436200000000E+01        0.4671385960200000E+01
TATB_O          -0.1331064081300000E+01        0.3434557201200000E+01        0.4591451224400000E+01
TATB_O          -0.1310424845000000E+01        0.5531385133400000E+01        0.4705917766100000E+01
TATB_No2         0.3558157254900000E+01        0.6869708488900000E+01        0.4817186918300000E+01
TATB_O           0.2971226811700000E+01        0.7948939179200000E+01        0.4874739928100000E+01
TATB_O           0.4777783201800000E+01        0.6889929398300000E+01        0.4780097200900000E+01
TATB_No2         0.3528500454200000E+01        0.1997543928100000E+01        0.4892005831000000E+01
TATB_O           0.4758577504100000E+01        0.1965070596500000E+01        0.4921421813800000E+01
TATB_O           0.2926711077200000E+01        0.9149107913000000E+00        0.4868345149200000E+01
TATB_Nh2         0.7894608754000000E+00        0.6827866481700000E+01        0.4867066193500000E+01
TATB_H          -0.6359975370000000E-01        0.6797593248400000E+01        0.4872821494400000E+01
TATB_H           0.1193899203200000E+01        0.7545343371600000E+01        0.4732136359400000E+01
TATB_Nh2         0.4862392310400000E+01        0.4411833852500000E+01        0.4746204872900000E+01
TATB_H           0.5283981049100000E+01        0.5029933105400000E+01        0.4770505032600000E+01
TATB_H           0.5381754246600000E+01        0.3505595392700000E+01        0.4770505032600000E+01
TATB_Nh2         0.7431726993000000E+00        0.2084182439400000E+01        0.4785213024000000E+01
TATB_H           0.1182159004200000E+01        0.1343115981100000E+01        0.4834452821300000E+01
TATB_H          -0.1650554266000000E+00        0.2140550893000000E+01        0.4962348398500000E+01
